bs_type,atr_multiplier,total_return_pct,max_drawdown_pct,calmar_ratio,trades_count,win_rate
"2,2s,3a,3b",3.0,0.1887,0.0272419440509915,6.926818425542287,42,0.5714285714285714
"2,2s,3a,3b",1.5,0.1887,0.0272419440509915,6.926818425542287,42,0.5714285714285714
"2,2s,3a,3b",2.0,0.1887,0.0272419440509915,6.926818425542287,42,0.5714285714285714
"2,2s,3a,3b",2.5,0.1887,0.0272419440509915,6.926818425542287,42,0.5714285714285714
"1,1p,2,2s,3a,3b",1.5,0.07355,0.03210774080805606,2.2907248578992445,56,0.34615384615384615
"1,1p,2,2s,3a,3b",2.0,0.07355,0.03210774080805606,2.2907248578992445,56,0.34615384615384615
"1,1p,2,2s,3a,3b",2.5,0.07355,0.03210774080805606,2.2907248578992445,56,0.34615384615384615
"1,1p,2,2s,3a,3b",3.0,0.07355,0.03210774080805606,2.2907248578992445,56,0.34615384615384615
"1,2,3a",1.5,0.0024875,0.03501658059516877,0.07103777575424369,27,0.5
"1,2,3a",2.5,0.0024875,0.03501658059516877,0.07103777575424369,27,0.5
"1,2,3a",3.0,0.0024875,0.03501658059516877,0.07103777575424369,27,0.5
"1,2,3a",2.0,0.0024875,0.03501658059516877,0.07103777575424369,27,0.5
"1,2,3a,1p",2.5,-0.0764575,0.07645057337930035,-1.0000906025997383,27,0.3333333333333333
"1,2,3a,1p",2.0,-0.0764575,0.07645057337930035,-1.0000906025997383,27,0.3333333333333333
"1,2,3a,1p",1.5,-0.0764575,0.07645057337930035,-1.0000906025997383,27,0.3333333333333333
"1,2,3a,1p",3.0,-0.0764575,0.07645057337930035,-1.0000906025997383,27,0.3333333333333333
"1,1p",2.0,-0.0715175,0.07151053632902246,-1.0000973796496995,17,0.42857142857142855
"1,1p",1.5,-0.0715175,0.07151053632902246,-1.0000973796496995,17,0.42857142857142855
"1,1p",2.5,-0.0715175,0.07151053632902246,-1.0000973796496995,17,0.42857142857142855
"1,1p",3.0,-0.0545925,0.05458540939057043,-1.0001298993542183,17,0.2857142857142857
