bs_type,atr_multiplier,total_return_pct,max_drawdown_pct,calmar_ratio,trades_count,win_rate
"1buy,2buy,3buy",1.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,2buy,3buy",2.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,2buy,3buy,1p",2.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,2buy,3buy,1p",2.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,2buy,3buy,1p",1.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"2buy,2p,3buy",3.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"2buy,2p,3buy",2.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"2buy,2p,3buy",2.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"2buy,2p,3buy",1.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p",3.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p",2.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p",2.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p",1.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p,2buy,2p,3buy",3.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p,2buy,2p,3buy",2.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p,2buy,2p,3buy",2.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,1p,2buy,2p,3buy",1.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,2buy,3buy",3.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,2buy,3buy",2.5,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
"1buy,2buy,3buy,1p",3.0,0.08384103383499983,0.0010905561805928216,76.87915150728338,28,0.6153846153846154
